HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds,Available ICU Beds,Potentially Available ICU Beds,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care
"Fort Worth, TX",4200.00,501.00,1400.00,2800.00,187.00,344.00,1764292.00,277941.00,352858.00,72324.00,15247.00
"Fresno, CA",1935.00,205.00,547.00,1241.00,77.00,141.00,918145.00,146620.00,183629.00,37675.00,7952.00
"Gainesville, FL",1834.00,303.00,469.00,1152.00,88.00,195.00,464038.00,96829.00,92808.00,19473.00,4224.00
"Gary, IN",1434.00,179.00,638.00,1036.00,95.00,137.00,392167.00,80990.00,78433.00,16441.00,3562.00
"Grand Forks, ND",952.00,31.00,374.00,663.00,18.00,24.00,130084.00,25793.00,26017.00,5433.00,1172.00
"Grand Junction, CO",696.00,75.00,321.00,509.00,33.00,54.00,270519.00,57077.00,54104.00,11364.00,2468.00
"Grand Rapids, MI",2440.00,236.00,957.00,1699.00,86.00,161.00,933913.00,171359.00,186783.00,38745.00,8289.00
"Great Falls, MT",937.00,50.00,367.00,652.00,27.00,39.00,114922.00,25583.00,22984.00,4853.00,1061.00
"Greeley, CO",792.00,79.00,396.00,594.00,28.00,54.00,294267.00,55594.00,58853.00,12238.00,2626.00
"Green Bay, WI",990.00,112.00,498.00,744.00,43.00,77.00,402953.00,88095.00,80591.00,16986.00,3704.00
"Greensboro, NC",1224.00,135.00,362.00,793.00,47.00,91.00,505727.00,100544.00,101145.00,21128.00,4559.00
"Greenville, NC",1977.00,339.00,631.00,1304.00,115.00,227.00,679309.00,136432.00,135862.00,28406.00,6136.00
"Greenville, SC",2217.00,282.00,798.00,1507.00,41.00,161.00,743619.00,153533.00,148724.00,31175.00,6755.00
"Gulfport, MS",609.00,80.00,287.00,448.00,40.00,60.00,159671.00,28559.00,31934.00,6610.00,1411.00
"Hackensack, NJ",3819.00,175.00,1057.00,2438.00,98.00,137.00,1048868.00,200075.00,209774.00,43658.00,9379.00
"Harlingen, TX",1145.00,120.00,536.00,840.00,44.00,82.00,418633.00,76061.00,83727.00,17353.00,3709.00
"Harrisburg, PA",2426.00,211.00,929.00,1677.00,61.00,136.00,825408.00,183199.00,165082.00,34846.00,7613.00
"Hartford, CT",2855.00,323.00,751.00,1803.00,115.00,219.00,1196337.00,245503.00,239267.00,50125.00,10853.00
"Hattiesburg, MS",1546.00,85.00,504.00,1025.00,30.00,57.00,240419.00,46076.00,48084.00,10011.00,2152.00
"Hickory, NC",603.00,64.00,253.00,428.00,25.00,45.00,229268.00,51364.00,45854.00,9688.00,2119.00
"Hinsdale, IL",1041.00,172.00,402.00,721.00,89.00,130.00,385733.00,67856.00,77147.00,15947.00,3397.00
"Honolulu, HI",2623.00,219.00,795.00,1709.00,73.00,146.00,1114023.00,238126.00,222805.00,46857.00,10192.00
"Houma, LA",707.00,65.00,399.00,553.00,32.00,49.00,206176.00,37957.00,41235.00,8556.00,1831.00
"Houston, TX",14062.00,1790.00,5130.00,9596.00,652.00,1221.00,5278689.00,769270.00,1055738.00,215206.00,45055.00
"Hudson, FL",1188.00,160.00,329.00,758.00,45.00,102.00,351228.00,112737.00,70246.00,15489.00,3553.00
"Huntington, WV",1561.00,162.00,382.00,971.00,64.00,113.00,276340.00,63341.00,55268.00,11704.00,2567.00
"Huntsville, AL",1804.00,248.00,569.00,1187.00,59.00,154.00,506155.00,100153.00,101231.00,21137.00,4558.00
"Idaho Falls, ID",492.00,44.00,269.00,381.00,24.00,34.00,169856.00,28437.00,33971.00,6995.00,1483.00
"Indianapolis, IN",7441.00,1081.00,3350.00,5396.00,403.00,742.00,2249394.00,412838.00,449879.00,93321.00,19966.00
"Iowa City, IA",1414.00,147.00,538.00,976.00,64.00,106.00,279218.00,53012.00,55844.00,11618.00,2494.00
"Jackson, MS",4425.00,406.00,1964.00,3194.00,149.00,277.00,792834.00,152349.00,158567.00,33022.00,7099.00
"Jackson, TN",1063.00,115.00,423.00,743.00,57.00,86.00,256100.00,58414.00,51220.00,10842.00,2376.00
"Jacksonville, FL",4947.00,618.00,1625.00,3286.00,183.00,400.00,1340118.00,254567.00,268024.00,55761.00,11973.00
"Johnson City, TN",956.00,94.00,342.00,649.00,39.00,66.00,235522.00,51395.00,47104.00,9926.00,2164.00
"Johnstown, PA",741.00,44.00,426.00,584.00,25.00,35.00,170816.00,45254.00,34163.00,7351.00,1642.00
"Joliet, IL",1376.00,149.00,662.00,1019.00,53.00,101.00,516812.00,90546.00,103362.00,21359.00,4549.00
"Jonesboro, AR",975.00,76.00,403.00,689.00,23.00,50.00,185969.00,38518.00,37194.00,7799.00,1690.00
"Joplin, MO",1045.00,124.00,507.00,776.00,71.00,97.00,282798.00,63826.00,56560.00,11959.00,2618.00
"Kalamazoo, MI",1462.00,139.00,681.00,1072.00,21.00,80.00,520196.00,104986.00,104039.00,21762.00,4703.00
"Kansas City, MO",6736.00,795.00,2646.00,4691.00,286.00,541.00,1950902.00,362250.00,390180.00,81017.00,17355.00
"Kettering, OH",923.00,138.00,412.00,667.00,42.00,90.00,334281.00,73199.00,66856.00,14093.00,3074.00
"Kingsport, TN",1485.00,185.00,668.00,1077.00,75.00,130.00,375852.00,93948.00,75170.00,16067.00,3562.00
"Knoxville, TN",3193.00,299.00,1198.00,2195.00,74.00,186.00,1108058.00,250729.00,221612.00,46870.00,10263.00
"La Crosse, WI",650.00,78.00,286.00,468.00,44.00,61.00,279590.00,60747.00,55918.00,11779.00,2567.00
"Lafayette, IN",457.00,34.00,193.00,325.00,14.00,24.00,199535.00,31824.00,39907.00,8187.00,1728.00
"Lafayette, LA",1716.00,188.00,700.00,1208.00,87.00,137.00,477559.00,85840.00,95512.00,19778.00,4223.00
"Lake Charles, LA",830.00,81.00,424.00,627.00,44.00,62.00,210604.00,37934.00,42121.00,8724.00,1863.00
"Lakeland, FL",1046.00,103.00,382.00,714.00,57.00,80.00,317384.00,73118.00,63477.00,13450.00,2951.00
"Lancaster, PA",1081.00,98.00,468.00,774.00,40.00,69.00,528715.00,112509.00,105743.00,22229.00,4833.00
"Lansing, MI",1444.00,240.00,632.00,1038.00,115.00,177.00,561636.00,102892.00,112327.00,23297.00,4984.00
"Las Vegas, NV",4165.00,761.00,1088.00,2626.00,162.00,462.00,1704994.00,321669.00,340999.00,70902.00,15213.00
"Lawton, OK",733.00,76.00,346.00,539.00,32.00,54.00,152745.00,28422.00,30549.00,6344.00,1359.00
"Lebanon, NH",939.00,105.00,333.00,636.00,56.00,80.00,320499.00,77792.00,64100.00,13657.00,3016.00
"Lexington, KY",5045.00,579.00,2073.00,3559.00,172.00,375.00,1192842.00,231348.00,238568.00,49724.00,10700.00
"Lincoln, NE",2047.00,116.00,1016.00,1532.00,33.00,75.00,459005.00,93970.00,91801.00,19228.00,4162.00
"Little Rock, AR",4854.00,520.00,2174.00,3514.00,177.00,348.00,1212482.00,258840.00,242496.00,50992.00,11090.00
"Longview, TX",224.00,45.00,98.00,161.00,21.00,33.00,161316.00,33367.00,32263.00,6764.00,1466.00
"Los Angeles, CA",19492.00,2415.00,6594.00,13043.00,942.00,1679.00,7874162.00,1268093.00,1574832.00,323312.00,68296.00
"Louisville, KY",4162.00,506.00,1700.00,2931.00,165.00,335.00,1385741.00,271762.00,277148.00,57822.00,12458.00
"Lubbock, TX",1811.00,298.00,922.00,1367.00,85.00,191.00,546461.00,91980.00,109292.00,22513.00,4776.00
"Lynchburg, VA",1174.00,55.00,309.00,741.00,20.00,37.00,217344.00,49862.00,43469.00,9206.00,2019.00
"Macon, GA",2295.00,240.00,865.00,1580.00,57.00,149.00,568689.00,111226.00,113738.00,23724.00,5110.00
"Madison, WI",2443.00,267.00,838.00,1640.00,121.00,194.00,886932.00,165619.00,177386.00,36850.00,7898.00
"Manchester, NH",1603.00,137.00,582.00,1092.00,53.00,95.00,714679.00,143594.00,142936.00,29886.00,6456.00
"Manhattan, NY",14834.00,1427.00,3059.00,8946.00,616.00,1021.00,4173437.00,725342.00,834687.00,172372.00,36678.00
"Marquette, MI",601.00,47.00,276.00,438.00,18.00,32.00,159278.00,39415.00,31856.00,6802.00,1506.00
"Marshfield, WI",706.00,68.00,281.00,494.00,34.00,51.00,295582.00,70770.00,59116.00,12577.00,2773.00
"Mason City, IA",470.00,18.00,239.00,354.00,6.00,12.00,100326.00,26837.00,20065.00,4322.00,967.00
"McAllen, TX",1938.00,350.00,849.00,1394.00,133.00,241.00,486579.00,74033.00,97316.00,19897.00,4181.00
"Medford, OR",855.00,72.00,369.00,612.00,25.00,49.00,351154.00,95565.00,70231.00,15160.00,3398.00
"Melrose Park, IL",2902.00,334.00,1122.00,2012.00,137.00,236.00,1031510.00,185204.00,206302.00,42716.00,9119.00
"Memphis, TN",5054.00,543.00,2045.00,3549.00,139.00,341.00,1366198.00,246308.00,273240.00,56595.00,12087.00
"Meridian, MS",1117.00,57.00,445.00,781.00,19.00,38.00,148060.00,32340.00,29612.00,6241.00,1361.00
"Mesa, AZ",2091.00,291.00,648.00,1370.00,108.00,200.00,1135619.00,212738.00,227124.00,47196.00,10119.00
"Metairie, LA",857.00,111.00,406.00,631.00,44.00,78.00,366346.00,76217.00,73269.00,15369.00,3333.00
"Miami, FL",9139.00,981.00,2952.00,6045.00,280.00,630.00,2741481.00,526396.00,548296.00,114178.00,24544.00
"Milwaukee, WI",5263.00,818.00,2207.00,3735.00,323.00,570.00,2079205.00,380644.00,415841.00,86242.00,18447.00
"Minneapolis, MN",6954.00,612.00,2458.00,4706.00,238.00,425.00,2570355.00,478271.00,514071.00,106761.00,22874.00
"Minot, ND",916.00,19.00,384.00,650.00,9.00,14.00,112434.00,19303.00,22487.00,4639.00,986.00
"Missoula, MT",1002.00,79.00,455.00,729.00,39.00,59.00,315091.00,74302.00,63018.00,13385.00,2946.00
"Mobile, AL",2066.00,282.00,695.00,1380.00,101.00,191.00,648957.00,135227.00,129791.00,27230.00,5906.00
"Modesto, CA",1478.00,118.00,467.00,972.00,44.00,81.00,680976.00,119559.00,136195.00,28149.00,5996.00
"Monroe, LA",1064.00,102.00,561.00,813.00,36.00,69.00,204787.00,41070.00,40957.00,8562.00,1849.00
"Montgomery, AL",1225.00,131.00,461.00,843.00,61.00,96.00,360863.00,68023.00,72173.00,15005.00,3219.00
"Morgantown, WV",1555.00,155.00,499.00,1027.00,40.00,97.00,329288.00,68760.00,65858.00,13819.00,2998.00
"Morristown, NJ",1862.00,147.00,589.00,1226.00,54.00,101.00,795142.00,157620.00,159028.00,33210.00,7163.00
"Muncie, IN",377.00,36.00,129.00,253.00,8.00,22.00,128803.00,27663.00,25761.00,5420.00,1180.00
"Munster, IN",1500.00,105.00,642.00,1071.00,42.00,74.00,239843.00,45234.00,47969.00,9974.00,2140.00
